"FindingId","DomainControllerId","HostName","DomainName","SiteName","Category","Severity","Status","Finding","Recommendation","Evidence","Source"
"FIND001","DC002","dc03.contoso.com","contoso.com","Branch-01","Port","Critical","Blocked","LDAP TCP/389 status is Timeout.","Validate collector-to-DC connectivity and service listener state before role transfer or migration activity.","Connection timed out after 1500 ms.","P005"
"FIND002","DC002","dc03.contoso.com","contoso.com","Branch-01","Service","Critical","Blocked","Netlogon service status is Stopped.","Validate Netlogon on dc03.contoso.com before migration, role transfer, or decommission activity.","","S008"
"FIND003","DC002","dc03.contoso.com","contoso.com","Branch-01","Share","Critical","Blocked","NETLOGON share status is Missing.","Confirm SYSVOL/NETLOGON health before moving AD roles or decommissioning this DC.","\\dc03.contoso.com\NETLOGON","SH004"
"FIND004","DC002","dc03.contoso.com","contoso.com","Branch-01","Share","Critical","Blocked","SYSVOL share status is Missing.","Confirm SYSVOL/NETLOGON health before moving AD roles or decommissioning this DC.","\\dc03.contoso.com\SYSVOL","SH003"
"FIND005","DC001","dc02.contoso.com","contoso.com","Branch-01","DecommissionReadiness","Warning","Review","Domain controller currently holds FSMO roles: InfrastructureMaster.","Transfer FSMO roles and validate new holders before decommissioning this DC.","InfrastructureMaster","fsmo-roles.csv"
"FIND006","DC001","dc02.contoso.com","contoso.com","Branch-01","Port","Warning","Review","GC-LDAPS TCP/3269 status is Closed.","Validate collector-to-DC connectivity and service listener state before role transfer or migration activity.","Connection refused","P004"
"FIND007","DC001","dc02.contoso.com","contoso.com","Branch-01","Port","Warning","Review","LDAPS TCP/636 status is Closed.","Validate collector-to-DC connectivity and service listener state before role transfer or migration activity.","Connection refused","P002"
"FIND008","DC002","dc03.contoso.com","contoso.com","Branch-01","Locator","Warning","Review","No DC locator SRV records matched this domain controller.","Validate SRV registration, Netlogon registration, and DNS zone health.","No resolved SRV target matched dc03.contoso.com.","dc-locator-records.csv"
"FIND009","DC002","dc03.contoso.com","contoso.com","Branch-01","Port","Warning","Review","GC-LDAPS TCP/3269 status is Closed.","Validate collector-to-DC connectivity and service listener state before role transfer or migration activity.","Connection refused","P008"
"FIND010","DC002","dc03.contoso.com","contoso.com","Branch-01","Port","Warning","Review","LDAPS TCP/636 status is Closed.","Validate collector-to-DC connectivity and service listener state before role transfer or migration activity.","Connection refused","P006"
"FIND011","DC002","dc03.contoso.com","contoso.com","Branch-01","Service","Warning","Review","DNS service status is NotFound.","Validate DNS on dc03.contoso.com before migration, role transfer, or decommission activity.","","S010"
"FIND012","DC002","dc03.contoso.com","contoso.com","Branch-01","Time","Warning","Review","Sibling time inventory reports risky or unknown time source.","Review Time-Server-Toolkit output and correct time hierarchy before AD role changes.","Source=Local CMOS Clock; SourceType=LocalClock","Time-Server-Toolkit"
"FIND013","DC003","dc01.contoso.com","contoso.com","HQ","DecommissionReadiness","Warning","Review","Domain controller currently holds FSMO roles: PDCEmulator, RIDMaster, DomainNamingMaster, SchemaMaster.","Transfer FSMO roles and validate new holders before decommissioning this DC.","PDCEmulator; RIDMaster; DomainNamingMaster; SchemaMaster","fsmo-roles.csv"
