"ServiceCheckId","DomainControllerId","HostName","ServiceName","DisplayName","Status","State","StartMode","CheckStatus","Severity","ReadinessImpact","SourceCollectionFile","Notes"
"S001","DC001","dc02.contoso.com","NTDS","Active Directory Domain Services","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S002","DC001","dc02.contoso.com","Netlogon","Netlogon","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S003","DC001","dc02.contoso.com","DFSR","DFS Replication","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S004","DC001","dc02.contoso.com","DNS","DNS Server","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S005","DC001","dc02.contoso.com","KDC","Kerberos Key Distribution Center","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S006","DC001","dc02.contoso.com","W32Time","Windows Time","Running","Running","Manual","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S007","DC002","dc03.contoso.com","NTDS","Active Directory Domain Services","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S008","DC002","dc03.contoso.com","Netlogon","Netlogon","Stopped","Stopped","Auto","Collected","Critical","Blocker","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S009","DC002","dc03.contoso.com","DFSR","DFS Replication","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S010","DC002","dc03.contoso.com","DNS","DNS Server","NotFound","NotFound","","NotFound","Warning","Review","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S011","DC002","dc03.contoso.com","KDC","Kerberos Key Distribution Center","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S012","DC002","dc03.contoso.com","W32Time","Windows Time","Running","Running","Manual","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S013","DC003","dc01.contoso.com","NTDS","Active Directory Domain Services","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S014","DC003","dc01.contoso.com","Netlogon","Netlogon","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S015","DC003","dc01.contoso.com","DFSR","DFS Replication","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S016","DC003","dc01.contoso.com","DNS","DNS Server","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S017","DC003","dc01.contoso.com","KDC","Kerberos Key Distribution Center","Running","Running","Auto","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
"S018","DC003","dc01.contoso.com","W32Time","Windows Time","Running","Running","Manual","Collected","Info","None","/Users/slos/Library/CloudStorage/OneDrive-WestMonroe/Documents/CodexProjects/ADSNSMAP/AD-Domain-Controller-Health-Toolkit/examples/mock-forest/raw/contoso.20260622T000000Z.dc-health.collection.json",""
